date,United States,Germany,Canada,France,Italy,Spain,Belgium,Australia,Austria,Denmark,Finland,Iceland,Ireland,Japan,Korea,Netherlands,New Zealand,Norway,Portugal,Sweden,United Kingdom
Monthly,Markit,Bloomberg,Markit,Markit,Markit,Markit,Bloomberg,Markit,Markit,Bloomberg,Markit,Bloomberg,Markit,Bloomberg,Bloomberg,Markit,Markit,Markit,Bloomberg,Bloomberg,Markit
12/31/2005,#N/A,3.4375,#N/A,#N/A,#N/A,#N/A,2.625,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.8472222222,24.4362727273,#N/A,#N/A,#N/A,6.678,#N/A,#N/A
1/31/2006,#N/A,3.380952381,#N/A,#N/A,#N/A,#N/A,2.625,#N/A,#N/A,#N/A,#N/A,5.3333333333,#N/A,3.8873684211,23.5850909091,#N/A,#N/A,#N/A,6.7083181818,4.6666666667,#N/A
2/28/2006,#N/A,3.1625,#N/A,#N/A,#N/A,#N/A,2.625,#N/A,#N/A,#N/A,#N/A,5.644,#N/A,4.3055,22.7376,#N/A,#N/A,#N/A,6.48465,2.8125,#N/A
3/31/2006,#N/A,3.4402173913,#N/A,#N/A,#N/A,#N/A,2.625,#N/A,#N/A,#N/A,#N/A,14.1956521739,#N/A,3.5713043478,23.3341304348,#N/A,#N/A,#N/A,6.8425652174,1.9613636364,#N/A
4/30/2006,#N/A,3.4276315789,#N/A,#N/A,#N/A,#N/A,2.625,#N/A,#N/A,#N/A,#N/A,17.9021052632,#N/A,3.566,23.52515,#N/A,#N/A,#N/A,7.7105263158,2.0157894737,#N/A
5/31/2006,#N/A,3.2380952381,#N/A,#N/A,#N/A,#N/A,2.625,#N/A,#N/A,#N/A,#N/A,14.4960869565,#N/A,3.5256521739,23.2681304348,#N/A,#N/A,#N/A,7.964,2.0172727273,#N/A
6/30/2006,#N/A,3.5,#N/A,#N/A,#N/A,#N/A,2.625,#N/A,#N/A,#N/A,#N/A,16.5081818182,#N/A,3.4718181818,25.0828636364,#N/A,#N/A,#N/A,8.2102272727,2.4831818182,#N/A
7/31/2006,#N/A,3.5,#N/A,#N/A,#N/A,#N/A,2.625,#N/A,#N/A,#N/A,#N/A,15.6385714286,#N/A,3.8042857143,25.7092857143,#N/A,#N/A,#N/A,8.125,2.3633333333,#N/A
8/31/2006,#N/A,3.3636363636,#N/A,#N/A,#N/A,#N/A,2.5397727273,#N/A,#N/A,#N/A,#N/A,11.2159090909,#N/A,3.5686363636,23.9865217391,#N/A,#N/A,#N/A,7.4619565217,2,#N/A
9/30/2006,#N/A,3.25,#N/A,#N/A,#N/A,#N/A,2.5,#N/A,#N/A,#N/A,#N/A,7.4014285714,#N/A,3.3885714286,23.6392857143,#N/A,#N/A,#N/A,6.2738095238,1.8095238095,#N/A
10/31/2006,#N/A,3.3030454545,#N/A,#N/A,#N/A,#N/A,2.4652727273,#N/A,#N/A,#N/A,#N/A,6.6015909091,#N/A,3.5705263158,26.426,#N/A,#N/A,#N/A,5.9828636364,1.7505555556,#N/A
11/30/2006,#N/A,3.9407222222,#N/A,#N/A,#N/A,#N/A,2.2826842105,#N/A,#N/A,#N/A,#N/A,5.9178947368,#N/A,3.7016666667,23.5954545455,#N/A,#N/A,#N/A,5.0878095238,1.7083333333,#N/A
12/31/2006,#N/A,4.002,#N/A,#N/A,#N/A,#N/A,2.4703333333,#N/A,#N/A,#N/A,#N/A,5.3,#N/A,3.575,18.4186190476,#N/A,#N/A,#N/A,4.9416315789,#N/A,#N/A
1/31/2007,#N/A,3.4666153846,#N/A,#N/A,#N/A,#N/A,2.4491538462,#N/A,#N/A,#N/A,#N/A,7.0379166667,#N/A,#N/A,18.946173913,#N/A,#N/A,#N/A,5.0043913043,#N/A,#N/A
2/28/2007,#N/A,3.25,#N/A,#N/A,#N/A,#N/A,2.3332666667,#N/A,#N/A,#N/A,#N/A,5.8678571429,#N/A,#N/A,17.63085,#N/A,#N/A,#N/A,4.9247894737,#N/A,#N/A
3/31/2007,#N/A,3.4445714286,#N/A,#N/A,#N/A,#N/A,2.614,#N/A,#N/A,#N/A,#N/A,7.20625,#N/A,#N/A,17.9792272727,#N/A,#N/A,#N/A,4.6059090909,#N/A,#N/A
4/30/2007,#N/A,3.4948,#N/A,#N/A,#N/A,#N/A,2.33875,#N/A,#N/A,#N/A,#N/A,7.0404166667,#N/A,#N/A,16.1614285714,#N/A,#N/A,#N/A,4.6741428571,#N/A,#N/A
5/31/2007,#N/A,3.4374347826,#N/A,#N/A,#N/A,#N/A,2.2160869565,#N/A,#N/A,#N/A,#N/A,6.7869565217,#N/A,#N/A,15.0308695652,#N/A,#N/A,#N/A,4.1887391304,#N/A,#N/A
6/30/2007,#N/A,3.6843333333,#N/A,#N/A,#N/A,#N/A,2.2082380952,#N/A,#N/A,#N/A,#N/A,6.4666666667,#N/A,#N/A,15.7371904762,#N/A,#N/A,#N/A,4.1326666667,#N/A,#N/A
7/31/2007,#N/A,3.7740454545,#N/A,#N/A,#N/A,#N/A,2.3067272727,#N/A,#N/A,#N/A,#N/A,7.305,#N/A,13.25,19.3782727273,#N/A,#N/A,#N/A,4.8131363636,#N/A,#N/A
8/31/2007,#N/A,5.6264347826,#N/A,#N/A,#N/A,#N/A,3.5697826087,#N/A,#N/A,#N/A,#N/A,15.2136363636,#N/A,20.8,32.0423913043,#N/A,#N/A,#N/A,7.1647391304,#N/A,#N/A
9/30/2007,#N/A,3.7102,2.75,2.82,9.41,6.97,3.75295,2.68,#N/A,#N/A,#N/A,19.7842105263,#N/A,3.5,29.55025,2.56,4.95,#N/A,8.63485,#N/A,#N/A
10/31/2007,#N/A,3.1964782609,2.75,2.7643478261,8.8552173913,7.4934782609,3.797826087,2.8339130435,#N/A,#N/A,#N/A,15.27,#N/A,4.1578947368,23.9335652174,2.547826087,4.5430434783,#N/A,8.2070434783,#N/A,#N/A
11/30/2007,3.6653846154,3.9806363636,2.75,3.9295454545,11.8309090909,10.4313636364,5.8245,3.2054545455,4.2561538462,#N/A,3.86,51.2047619048,9.48,6.2375,39.8983636364,3.6336363636,4.3218181818,4.1007692308,9.9603636364,4.2625,4.2330769231
12/31/2007,5.1895238095,5.683,2.75,6.8104761905,19.3261904762,17.700952381,9.1714285714,4.2538095238,5.5652380952,#N/A,5.1980952381,69.76,13.3433333333,6.975,44.0024444444,5.640952381,10.390952381,5.0338095238,16.5493809524,4.8,5.2580952381
1/31/2008,7.5073913043,6.3965652174,6.25,10.0552173913,32.1917391304,26.1834782609,12.2726086957,5.6560869565,8.2982608696,#N/A,7.7752173913,120.3913043478,19.7734782609,12.65,65.8164782609,8.0139130435,12.7834782609,6.6247826087,27.6826956522,8.23,9.3352173913
2/29/2008,6.84,7.9227619048,5.4761904762,10.9333333333,42.3947619048,34.2042857143,21.6905714286,6.7161904762,8.1185714286,#N/A,8.2547619048,179.6571428571,23.959047619,17.8142857143,81.8133333333,8.4257142857,13.7271428571,5.607,37.5087142857,8.6857142857,12.0376190476
3/31/2008,11.2185,10.8334117647,5.8,12.661,45.686,42.5395,26.0969411765,22.4765,12.2255,#N/A,11.1,336.7095238095,29.07,28.4052631579,101.6164761905,11.8875,29.3205,#N/A,42.2419473684,13.7047619048,15.103
4/30/2008,8.98,12.5833333333,4.1590909091,8.5804545455,32.4836363636,30.7,25.625,18.8168181818,9.265,#N/A,8.315,275.2727272727,24.2863636364,18.3904761905,74.6309545455,8.3409090909,23.6372727273,#N/A,35.1226363636,8.9136363636,12.3409090909
5/31/2008,6.6404545455,#N/A,6.5,7.2186363636,26.72,25.4145454545,#N/A,11.56,7.6540909091,#N/A,7.2172727273,157.8047619048,19.3268181818,11.4818181818,64.8868181818,6.8218181818,19.2763636364,#N/A,33.0340909091,6.7764705882,9.9463636364
6/30/2008,8.8614285714,#N/A,7.880952381,8.7995238095,31.5414285714,30.2933333333,10.3333333333,14.6071428571,9.2138095238,#N/A,8.3119047619,210.8952380952,23.6766666667,13.4789473684,90.7478095238,8.440952381,22.5914285714,#N/A,28.8570952381,8.2095238095,14.5371428571
7/31/2008,13.2517391304,6.775,15.3043478261,10.6447826087,39.6808695652,36.4465217391,14.7500434783,19.6539130435,11.6686956522,9,9.767826087,281.7,28.6860869565,17.3565217391,107.623826087,9.6539130435,27.4673913043,6.38,35.515826087,9.7173913043,16.3156521739
8/31/2008,15.2571428571,7.4523809524,14.3095238095,11.1776190476,39.7538095238,37.2547619048,19.5,19.6433333333,11.2942857143,#N/A,9.9895238095,275.5,29.43,17.0952380952,104.2225238095,9.5976190476,27.4338095238,6.4061904762,37.7167619048,9.8714285714,16.9923809524
9/30/2008,19.4377272727,9.1426363636,14.5,12.2881818182,42.9513636364,40.8222727273,22.6079090909,20.2731818182,12.655,13.2336111111,11.2609090909,327.6545454545,33.6127272727,17.3272727273,147.7498636364,11.0390909091,30.2345454545,7.3590909091,41.3319545455,12.4090909091,21.5090909091
10/31/2008,32.2856521739,26.3018695652,14.4565217391,34.0117391304,85.58,72.96,49.0913478261,51.5126086957,51.4008695652,42.5108695652,27.5691304348,1017.1956521739,83.9113043478,36.1956521739,386.19,33.7447826087,69.4830434783,21.8004347826,74.4323913043,40.0695652174,48.627826087
11/30/2008,36.8664148082,31.5924,12.5,42.8935740197,115.7297977291,83.7508545577,58.34875,75.1634757151,92.957077269,86.45,38.0870878515,897.06,144.9349537724,44.45,350.2642,46.8983200592,103.9927087131,27.3452277304,83.1062,87.28,71.8362277178
12/31/2008,62.219959002,46.81685,12.5,56.4228826298,172.3501375565,104.6620656744,87.7041428571,109.6605178746,138.503637354,124.2514210526,60.754259863,1042.9,195.1505301579,46.892173913,365.8677826087,85.3767292615,131.4945309959,32.0329636197,101.442952381,129.9608695652,110.0872565053
1/31/2009,62.4149165557,43.4991428571,12.5000661273,59.2596116278,168.2900016561,123.3934996301,89.2785454545,114.2393767869,132.6586707595,110.2142857143,58.0445794142,960.2636363636,230.1008633295,42.9559090909,311.1211363636,94.6205879536,131.6678333939,36.1890971102,116.8272857143,106.1045454545,119.628746952
